"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2016-Q2","T2-2016",263.882,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2016-Q1","T1-2016",273.795,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2016-Q4","T4-2016",262.992,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2016-Q3","T3-2016",258.535,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2017","2017",262.65,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2017-Q1","T1-2017",259.773,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2017-Q2","T2-2017",257.459,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2017-Q4","T4-2017",274.117,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2017-Q3","T3-2017",259.25,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2018","2018",268.081,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2018-Q2","T2-2018",266.58,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2018-Q1","T1-2018",265.694,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2018-Q4","T4-2018",264.181,,
"ITC3","Liguria","2","femmine","Y_GE15","15 anni e più","2018-Q3","T3-2018",275.868,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2013","2013",851.033,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2013-Q1","T1-2013",860.876,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2013-Q2","T2-2013",859.71,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2013-Q4","T4-2013",856.342,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2013-Q3","T3-2013",827.205,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2014","2014",869.451,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2014-Q2","T2-2014",888.362,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2014-Q1","T1-2014",862,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2014-Q4","T4-2014",858.492,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2014-Q3","T3-2014",868.949,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2015","2015",860.06,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2015-Q1","T1-2015",849.293,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2015-Q2","T2-2015",872.397,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2015-Q4","T4-2015",864.787,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2015-Q3","T3-2015",853.762,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2016","2016",875.583,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2016-Q2","T2-2016",904.468,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2016-Q1","T1-2016",844.347,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2016-Q4","T4-2016",881.376,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2016-Q3","T3-2016",872.141,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2017","2017",904.324,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2017-Q1","T1-2017",890.744,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2017-Q2","T2-2017",904.627,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2017-Q4","T4-2017",915.167,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2017-Q3","T3-2017",906.758,,
