Year;15-24;25-34;35-44;45-54;55-64;65+
2013;77;156;262;391;258;111
2014;62;127;227;363;285;112
2015;81;111;239;422;333;114
2016;67;125;178;358;321;96
2017;58;108;196;294;296;77
2018;61;140;193;315;340;83
